# q qerr I(q) I(q)err
1.515101840116216403e-01 1.733488680768551166e-04 5.519011406844106205e+01 4.151782469358227257e-01
1.521064221390883986e-01 1.789137093220697489e-04 5.537582903463522399e+01 4.121285992288751254e-01
1.527073828446275372e-01 1.749265483332643450e-04 5.513831360946745264e+01 4.049998344757746449e-01
1.532836631559308382e-01 1.646404263850971474e-04 5.556303170920340051e+01 3.926188785208261089e-01
1.538639226921271475e-01 1.749181889161336941e-04 5.509257898603967618e+01 4.012002334968187700e-01
1.544610589382630073e-01 1.753568282319197262e-04 5.542752023546725582e+01 4.129880209585142237e-01
1.550592551320464918e-01 1.767315469026775360e-04 5.632605531295487822e+01 4.169588963068475707e-01
1.556489773233386553e-01 1.713881357606495141e-04 5.618479880774962965e+01 4.143425282749915173e-01
1.562297773760148722e-01 1.693323072664763796e-04 5.613333333333333286e+01 4.172939899093188187e-01
1.568188325067622069e-01 1.795432283922305822e-04 5.633594864479315589e+01 3.988754178652166860e-01
1.574213451987022949e-01 1.745077731052518152e-04 5.605370101596516719e+01 4.073917116129348592e-01
1.580142803400742813e-01 1.760436723364226959e-04 5.662605042016807033e+01 3.965807127170607460e-01
1.586054331194047262e-01 1.737346225107127510e-04 5.672471910112359694e+01 4.157331054551711702e-01
1.591957007021453097e-01 1.742999244779860999e-04 5.705473684210526386e+01 3.960393038288984036e-01
1.597859626621124796e-01 1.787191501544404572e-04 5.662500000000000000e+01 4.036747360183479127e-01
1.603784429221828123e-01 1.706223611874614708e-04 5.721328671328671334e+01 3.934170223002753652e-01
1.609609574506636054e-01 1.724040008499651971e-04 5.709271978021978100e+01 3.998007447845164375e-01
1.615512353080758579e-01 1.762096145660377690e-04 5.747188755020080464e+01 4.045015174834879490e-01
1.621444550835599019e-01 1.748771237911893892e-04 5.750202156334231773e+01 3.945307069790074950e-01
1.627345734916065267e-01 1.767360886906434625e-04 5.785375494071146107e+01 4.057229346048406571e-01
1.633222087381379084e-01 1.690162160317457921e-04 5.787858117326057084e+01 4.156723167662166318e-01
1.639083078382891079e-01 1.774370742681071150e-04 5.839507772020725440e+01 4.025615081177568721e-01
1.645042746635484443e-01 1.758193409646523913e-04 5.801432291666666430e+01 3.916028085238346113e-01
1.651034992350527975e-01 1.779804367439487593e-04 5.800572519083969780e+01 3.812240890436868201e-01
1.656948622202385479e-01 1.717495961543857971e-04 5.819881889763779270e+01 4.069454568998919775e-01
1.662851392014260410e-01 1.756514554154832409e-04 5.873546325878594132e+01 3.861974567912770384e-01
1.668751232914901517e-01 1.753662530070129516e-04 5.875956632653061007e+01 3.907518183843353698e-01
1.674599086321929553e-01 1.702395092648147882e-04 5.921933809214795730e+01 3.913347906839397261e-01
1.680509371158693532e-01 1.771569209020374975e-04 5.941538461538461746e+01 3.991727695410928201e-01
1.686406562193866199e-01 1.698935664471465205e-04 5.939627488760437046e+01 3.936922792885375055e-01
1.692361788884177154e-01 1.811136499494860486e-04 5.978695391980849649e+01 3.868777102940859081e-01
1.698325948225548332e-01 1.728471726486166559e-04 6.002882205513784442e+01 3.944292728712014973e-01
1.704192366318950658e-01 1.732109585312701207e-04 5.992826221397650244e+01 3.918402344981328222e-01
1.710075237278315952e-01 1.730665579320479601e-04 6.054723926380368226e+01 3.923947309987378396e-01
