# q qerr q^2*I(q) q^2*I(q)err
7.979271978765202153e-03 1.985843415398949458e-05 2.052467660128298472e-03 1.556314678298515020e+01
8.047087982464534717e-03 1.968556396338232004e-05 2.055398816613518941e-03 1.516623767476123774e+01
8.114632714118170942e-03 1.956454713214921917e-05 2.081970768070528013e-03 1.451265905088473929e+01
8.181774944639298372e-03 1.943144661401985943e-05 2.116340519351812399e-03 1.576327856920728365e+01
8.248989582423191247e-03 1.957390874050594448e-05 2.121166709277745328e-03 1.373241022144849666e+01
8.316571141469622508e-03 1.982526574432378765e-05 2.188048547142899727e-03 1.396033976542460131e+01
8.384558066150297334e-03 1.984751676776846097e-05 2.206653150471208236e-03 1.408612140361526421e+01
8.452216352004243705e-03 1.958354271442608842e-05 2.211015032942801033e-03 1.295925464806208360e+01
8.519441642076222912e-03 1.957037758785727948e-05 2.284946112617652989e-03 1.295107275347290177e+01
8.587043642136473268e-03 1.963047941468901852e-05 2.313743366848967052e-03 1.230671540270096109e+01
8.654622612528509520e-03 1.974183076727590821e-05 2.357280961823987869e-03 1.216136457002134819e+01
8.722115182780841580e-03 1.952355040409366980e-05 2.392642556701186397e-03 1.204067774587868556e+01
8.789693659404717793e-03 1.979649383845638643e-05 2.425012219583318803e-03 1.187951209487571091e+01
8.857374746613359134e-03 1.964070858481547892e-05 2.500181678518940877e-03 1.129997235026810820e+01
8.925005352977516751e-03 1.969924813482598218e-05 2.530957982646114997e-03 1.119057528714364480e+01
8.992632835968137131e-03 1.957276768819551271e-05 2.562364564660455247e-03 1.149753988775970903e+01
9.059800592429100366e-03 1.939910706708903568e-05 2.608552796377020411e-03 1.105906213759736367e+01
9.127159592312078865e-03 1.976524351394137364e-05 2.681176063690526336e-03 1.123578685060475735e+01
9.194817359423209172e-03 1.963812971067529326e-05 2.728950933929668362e-03 1.088229175021986705e+01
9.262580397914221830e-03 1.982009091486262349e-05 2.797748049435703870e-03 1.110361804654130502e+01
9.330257978070646829e-03 1.960281676144559935e-05 2.874008161033627783e-03 9.910818986668594732e+00
9.397729397575715904e-03 1.957084009820921996e-05 2.927719086066450042e-03 1.037369701416346857e+01
9.465107609013256873e-03 1.967116986388499047e-05 2.984458656181842966e-03 9.693071009412228989e+00
9.532406893688276373e-03 1.953419170934771675e-05 3.073807845217549611e-03 9.609114896648337734e+00
9.599961840777928787e-03 1.978112891161324567e-05 3.162150463750883472e-03 9.472880525592625389e+00
9.667716467015972578e-03 1.972756518099596349e-05 3.233833849876329661e-03 9.651840311229872071e+00
9.735418996160689550e-03 1.966426077763133457e-05 3.329149065030369541e-03 9.485165550881962560e+00
9.803071921039054060e-03 1.966775366272674306e-05 3.415469511974643640e-03 9.408762951999902313e+00
9.870154909832271062e-03 1.922355466540139984e-05 3.469640031143011311e-03 9.037501379913061683e+00
9.937679396762903392e-03 1.998276521598933453e-05 3.615199728936222510e-03 9.281679351507399645e+00
1.000540733462229083e-02 1.945060477541667141e-05 3.734758635813866749e-03 8.730362739386697157e+00
1.007293079810255877e-02 1.983547793634924151e-05 3.815424589305079980e-03 8.980222619492124636e+00
1.014075871456840069e-02 1.968182906376070784e-05 3.936508864234474804e-03 8.866324036718101098e+00
1.020812590256922441e-02 1.940875879236816627e-05 4.088575443016416629e-03 8.701171774320490826e+00
